Date	Open	High	Low	Close	Change (Pips)	Change (%)
Apr 03, 2019 04:00	1.12217	1.12264	1.12209	1.12228	+1.1	+0.01%
Apr 03, 2019 03:00	1.12209	1.12234	1.12197	1.12219	+1.0	+0.01%
Apr 03, 2019 02:00	1.12236	1.12253	1.12199	1.12203	-3.3	-0.03%
Apr 03, 2019 01:00	1.12161	1.12264	1.12125	1.12238	+7.7	+0.07%
Apr 03, 2019 00:00	1.12036	1.12174	1.12021	1.12166	+13.0	+0.12%
Apr 02, 2019 23:00	1.12042	1.12052	1.12027	1.12033	-0.9	-0.01%
Apr 02, 2019 22:00	1.12024	1.12051	1.12018	1.12044	+2.0	+0.02%
Apr 02, 2019 21:00	1.12041	1.1206	1.12002	1.12023	-1.8	-0.02%
Apr 02, 2019 20:00	1.12009	1.12052	1.11989	1.12043	+3.4	+0.03%
Apr 02, 2019 19:00	1.11979	1.12023	1.11941	1.12013	+3.4	+0.03%
Apr 02, 2019 18:00	1.11944	1.11982	1.1192	1.11979	+3.5	+0.03%
Apr 02, 2019 17:00	1.11968	1.12158	1.11928	1.11941	-2.7	-0.02%
Apr 02, 2019 16:00	1.11861	1.11979	1.11854	1.11968	+10.7	+0.10%
Apr 02, 2019 15:00	1.11912	1.1193	1.11836	1.11862	-5.0	-0.04%
Apr 02, 2019 14:00	1.12013	1.12059	1.11851	1.11913	-10.0	-0.09%
Apr 02, 2019 13:00	1.12054	1.12077	1.11979	1.12011	-4.3	-0.04%
Apr 02, 2019 12:00	1.12011	1.12118	1.11981	1.12054	+4.3	+0.04%
Apr 02, 2019 11:00	1.12002	1.12056	1.11972	1.12014	+1.2	+0.01%
Apr 02, 2019 10:00	1.12038	1.12057	1.11989	1.12002	-3.6	-0.03%
Apr 02, 2019 09:00	1.11982	1.12061	1.11974	1.12041	+5.9	+0.05%
Apr 02, 2019 08:00	1.11994	1.12047	1.11935	1.11979	-1.5	-0.01%
Apr 02, 2019 07:00	1.1201	1.12039	1.11904	1.11996	-1.4	-0.01%
Apr 02, 2019 06:00	1.12077	1.12079	1.11991	1.12009	-6.8	-0.06%
Apr 02, 2019 05:00	1.12022	1.12112	1.12008	1.12075	+5.3	+0.05%
Apr 02, 2019 04:00	1.12025	1.12026	1.11957	1.12023	-0.2	+0.00%
Apr 02, 2019 03:00	1.12028	1.12052	1.11993	1.12027	-0.1	+0.00%
Apr 02, 2019 02:00	1.12037	1.12056	1.12014	1.12028	-0.9	-0.01%
Apr 02, 2019 01:00	1.12058	1.12059	1.11972	1.12034	-2.4	-0.02%
Apr 02, 2019 00:00	1.12053	1.12088	1.12048	1.12059	+0.6	+0.01%
